PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
380025,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,186942451,235293138,324878371
050471,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,368483768,1519786530,523424028
260024,2021-01-01 00:00:00,2021-12-31 00:00:00,Reopened,33479030,22348663,51420743
180004,2021-06-01 00:00:00,2022-05-31 00:00:00,Settled,50403472,55055390,98160545
010022,2021-07-01 00:00:00,2021-12-31 00:00:00,Settled,12810049,9632731,37109488
160013,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,44280759,17828671,125779299
050336,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,203965798,924622166,753919068
271327,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,9627771,4127986,4536953
201301,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,4200212,17322080
232034,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,18889426,23501721,52707399
150160,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,124032534,97105687,354229685
331305,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,,4610445,32859408
380014,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,328820331,404254169,393026988
393038,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,69071354,135372879,28238835
131310,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,9934284,21038758
110132,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,41179146,40367292,79596136
230080,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,139617794,65203075,207051715
193090,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,8728075,25381510,4505
230089,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,232346439,475344794,654033923
060003,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,109194587,239933799,368273462
371327,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,1754817,6018478
450152,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,117682724,289106121,385615227
453031,2021-06-01 00:00:00,2022-05-31 00:00:00,Settled,26772906,46181399,1515
193069,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,8487623,10682011,
181324,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,31095991,32216318,41004476
340017,2021-07-01 00:00:00,2022-06-30 00:00:00,Amended,259226537,264373542,710807773
171362,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,44026458,21891185,74102699
