Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,rpt_rec_num,fy,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
440182,REOPENED,02/01/2014,01/31/2015,MCKENZIE REGIONAL HOSPITAL,161 HOSPITAL DRIVE,MCKENZIE,,TN,38201,CARROLL,0,614632,2014,0,0,0,0,51236,0,51236,0,0,0,30,0,30,1282,1305,3452,10950,0,105.45,0,0,383,436,1101,0,0,0,0,0,0,0
440183,REOPENED,06/01/2014,05/31/2015,ST. FRANCIS HOSPITAL,5959 PARK AVENUE,MEMPHIS,,TN,38119,SHELBY,4920,642435,2014,1398762,0,68837,1467599,2027643,0,2027643,418010,109801,527811,353,12,365,26274,6816,79757,132702,19.9,1084,0,0,4630,614,15258,2943,0,0,74,1,621,270
440184,SETTLED,07/01/2014,06/30/2015,FRANKLIN WOODS COMMUNITY HOSPITAL,300 MEDTECH PARKWAY,JOHNSON CITY,,TN,37604-,WASHINGTON,3660,624762,2014,0,0,0,0,189484,0,189484,0,0,0,80,0,80,4749,1646,19312,29200,0,396.55,0,0,1153,3,5164,1095,0,0,0,0,0,0
440185,REOPENED,09/01/2014,08/31/2015,SKYRIDGE MEDICAL CENTER,2800 WESTSIDE DRIVE NW,CLEVELAND,,TN,37312,BRADLEY,0,691252,2014,0,0,0,0,752555,0,752555,0,0,0,183,0,183,14898,1491,38910,66795,0,826.39,0,0,2996,1566,8359,0,0,0,0,0,0,0
440187,REOPENED,03/01/2014,02/28/2015,LIVINGSTON REGIONAL HOSPITAL,315 OAK STREET,LIVINGSTON,,TN,38570,OVERTON,0,640803,2014,0,0,0,0,219469,0,219469,0,0,0,90,0,90,6449,1427,10238,32850,0,228.93,0,0,1156,611,2134,0,0,0,0,0,228,126
440189,REOPENED,02/01/2014,09/30/2014,REGIONAL HOSPITAL OF JACKSON,367 HOSPITAL BLVD,JACKSON,,TN,38305,MADISON,3580,640131,2014,0,0,0,0,381476,0,381476,0,0,0,115,0,115,9132,2249,16001,27830,0,312.11,0,0,1920,568,3761,0,0,0,0,0,0,0
440192,SETTLED,01/01/2014,12/31/2014,WHITE COUNTY COMMUNITY HOSPITAL,401 SEWELL ROAD,SPARTA,,TN,38583,WHITE,0,616118,2014,0,0,0,0,69945,0,69945,0,0,0,32,0,32,1568,11,2767,11680,0,131.15,0,0,470,5,882,106,0,0,0,0,214,0
440193,REOPENED,11/01/2013,10/31/2014,UNIVERSITY MEDICAL CENTER,1411 BADDOUR PARKWAY,LEBANON,,TN,37087,WILSON,5360,610390,2014,0,0,0,0,462295,0,462295,0,0,0,170,0,170,9137,1223,22530,62050,0,466.15,0,0,1664,898,4650,0,0,0,437,0,874,166
440194,SETTLED,09/01/2014,08/31/2015,TRISTAR HENDERSONVILLE MEDICALCENTER,355 NEW SHACKLE ISLAND,HENDERSONVILLE,,TN,37215,SUMNER,5360,624636,2014,0,0,0,0,278588,0,278588,0,0,0,99,0,99,6847,263,22303,35967,0,469.56,0,0,1735,66,5854,1495,0,0,0,0,0,0
440197,REOPENED,06/01/2014,05/31/2015,SOUTHERN HILLS MEDICAL CENTER,391 WALLACE ROAD,NASHVILLE,,TN,37211,DAVIDSON,5360,655735,2014,0,0,0,0,232405,0,232405,0,0,0,93,0,93,6193,138,18887,33945,0,452.12,0,0,1407,29,4440,527,0,0,0,1,0,297
